Title: 100,000 moves only
Description: Goal is to solve the levels with maximum 100,000 moves.
Author: Vipul Patel
Email: zalak_lab@yahoo.co.in

################################################
#@  #####################################    ###
# .                                       ## ###
## ###################################### ## ###
## #          . . . . . . . . . .        . # ###
## #                                       # ###
## ##.###################################### ###
## #  . . . . . . . . . . . . . . . . . .  # ###
## #                                       # ###
## ###################################### ## ###
## #  . . . . . . . . . . . . . . . . . .  # ###
## #                                       # ###
## ## ###################################### ###
## #  . . . . . . . . . . . . . . . . . .  # ###
## #                                       # ###
## ###################################### ## ###
## #  . . . . . . . . . . . . . . . . . .  # ###
## #                                       # ###
## ## ###################################### ###
## #  . . . . . . . . . . . . . . . . . .  # ###
## #                                       # ###
## ####################################### # ###
## #                                       # ###
## # $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$# ###
## #                                       # ###
## # $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$# ###
## #                                     ....###
## ###$#$$$$$$$$$$$$$$$$$$$$$$$$$$$#$#$#$# # ###
## #                                       # ###
#  ######################################### ###
#                                             ##
#  ########################################   ##
################################################
Title: 1

##################################################
#                                                #
# $######################################## ##$$ #
#                                           #    #
# $###################### ################# ##$$ #
#                         # $ $ $ $ $ $ $ $ #    #
##### ################### #                 ##$$ #
#   # #                   ### $             #    #
# $$# # ################################### ##$$ #
#   # #                                  ## #    #
# $$# # ####$#$#########################    ##$$ #
#   # #      * #.......................#  # #    #
# $$# # #  # $ #.....................  #  # ##$$ #
#   # # #  # . ......                  #  # #    #
# $$# # #  # # #.....................  #  # ##$$ #
#   # # #  # # #.......................#  # #    #
# $$# # #  # # #.......................#  # ##$$ #
#   # # #  # # #########################  # #    #
# $$# # # ##############################  # ##$$ #
#   # # # #   #   ######################  # #    #
# $$# # #                                 # # $$ #
#   # # # ###############################    # # #
# $$# #                                   #    # #
#   # ########################################$# #
# $$  # $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $  # #
#  #  #                                        # #
#  # ######################################### # #
# $# #                                       $ # #
#  #                                         #   #
# $#  ########################################$# #
#  #                                             #
## #  ######################################## ###
## ### $@$ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ #
##     $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ #
##                                               #
##################################################
Title: 2

################################################
#                                           ...#
#                                           ...#
#  $ $ $ $ $   $   $ $   $ $ $ $ $   $ $ *...*.#
#  $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ *.#
#  $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ *.#
## ###########################################.#
## # . * #  .$ #  .$ #  .$ #  .$ #  .$ #   ##@.#
## # $   # $   # $   # $   # $   # $   # $  $ ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## #.. ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## #.. ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## #.. ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## #.. ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## #.. ##
