Title: AC Easy
Description: AC Easy collection by Andrej Cerjak
Author: Andrej Cerjak
Email: ACSokoban@Yandex.com

########
# ..#  #
# ..# $###
#  ##    #
## $   $ #
 # ##  ###
 #   $##
 ###  #
   #@ #
   ####
Title: Warming Up

 #######
##     ##
#  . $ @#
# $*$$. #
# $..$. #
# $..$. #
#########
Title: Outside In

#######
# $.  #
# *   #
# *   #
# *** #
#   * #
##  * #
 ## * #
  # * #
  ## @#
   ####
Title: Jump Over The Wall

   #####
   #   ##
   #@$  ##
   #$$$  #
   # $ $ #
   # $$  #
   # $  ##
   # ####
   # ..#
   # ..#
   # .##
#### ..#
#    ..#
# # $.##
#   ####
#####
Title: JP

################
#      @       #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
#  $ $ $ $ $ $ #
# $ $ $ $ $ $  #
# #####$$##### #
# #..........# #
# #..........# #
# ##........## #
#  ##......##  #
#   ##....##   #
#    ##..##    #
#    ##..##    #
#   ##....##   #
#  ##......##  #
# ##........## #
# #..........# #
# #..........# #
################
Title: Hourglass

############
#      #   #
# # $      #
# ##$####$##
#     @#   #
###### $   #
    ## #####
    #  ....#
    #  #####
    #  #
    ####
Title: Four Boxes in a Row

 ####
 #  ####
##  $  #
# +*.$ #
# $ .  #
########
Title: AC_Easy_07

#########
#   #...#
# $ @.*.#
#  $#*..#
# $ # $ #
#  $#$  #
# $ #   #
#   #   #
#########
Title: AC_Easy_08

#########
#   #...#
# $ @.*.#
#  $#*..#
# $ # * #
#  $#$  #
# $ # $ #
#       #
#########
Title: AC_Easy_09

#########
#   #...#
# $$@.*.#
#   #*..#
# $$# $ #
#   #$ .#
# $$# $.#
#       #
#########
Title: AC_Easy_010

#########
#   #...#
# $$@.**#
#   #*..#
# $$# $.#
#   #$ .#
# $$# $.#
#       #
#########
Title: AC_Easy_011

#########
#   #...#
# $$@.**#
#   #*..#
# $$#.$ #
#   #*  #
# $$#.$ #
#       #
#########
Title: AC_Easy_012

#####
#   ######
#      ..#
#   .....#
#######.##
#  $ $ @#
# $ $ $$#
#  $ $  #
#       #
#########
Title: AC_Easy_013

     ########
    #       ##
   #  ** ##   #
  #  * *   **  #
 #  * *    * *  #
#  * *   *  * *  #
# * *   * *  * *  #
#* *   * * *  * *  #
# *   * * * *  * * #
#*   * * * * *  ***#
#   * * * * * *    #
#  * * * . * * *@$ #
####################
Title: Triangle

#############
#           #
# ######.## #
# # #   . # #
# #   # $ # #
# # ### ### #
# # *   *  @#
# #####$# ###
#         #
###########
Title: AC_Easy_015

#########
##  @  ##
#  $$$  #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
# $ $ $ #
#  $ $  #
####$####
#.......#
#.......#
# ..... #
#  ...  #
#   .   #
#   .   #
#  ...  #
# ..... #
#.......#
#.......#
#########
Title: Hourglass 2

           ###
          #   #
         #  *  #
        #  * *  #
        # *$*$* #
        #  . .  #
         # $*$ #
          #   #
   ###     # #     ###
  #   #   #   #   #   #
 #  *  # #  .  # #  *  #
#  *$.$ #  . .  # $.$*  #
# * * *   .$+ .   * * * #
#  *$.$ #  . .  # $.$*  #
 #  *  # #  .  # #  *  #
  #   #   #   #   #   #
   ###     # #     ###
          #   #
         # $*$ #
        #  . .  #
        # *$*$* #
        #  * *  #
         #  *  #
          #   #
           ###
Title: Four-Leaved Clover

############
#     @    #
# *$*$*$*$ #
# . . . .  #
# *$*$*$*$ #
# . . . .  #
# *$*$*$*$ #
# . . . .  #
# *$*$*$*$ #
# . . . .  #
############
Title: Stripes

      ##########
      #..#     #
      #..#     #
   ####..####  #
####........   #
#   ........#  #
#  ####..####  #
##    #..#     #
 #    #..#     #
 # ########### #
 #             #
 #$$$$$  $$$$# #
 #           # #
 #$$$$$  $$$$# #
 #     ##      #
 #####  @ ######
 #   $ $  #
 #  $ $ $ #
 #   $ $  #
 ## $ $ $ #
  #  ######
  ####
Title: Cross

      ####
 ######  #
 #      $#####
 #.....  #   #
### #### #$# #
# $  @ $     #
# $ ##########
#   #
#####
Title: AC_Easy_020

