Title: Atlas10
Description: Atlas 10 is the last one of the atlas series. Enjoy and give me your comments on
             these levels.
Author: Eric F Tchong
Email: serenata@setarnet.aw

####
#  #########
#      ##  ###
#  $#$###  $ #
#  *...## $  #
#  #*.### @$ #
#  .*.# # ## #
#    .#   # $#
#### ##   $  ##
   #     ##   #
   #  #  ##   #
   ############
Title: start atlas10

 ####
 #  ##########
 # $$        #
 # $ ## $$$$ #
##......#  $ #
# ......$ ## #
# ...##.  # $#
###   # $ $  ##
   #$ $$ ## $ #
   #  # @##   #
   ############
Title: elvis 30

   ########
   #      #
   # $$$$ #
#### $  $ #
#..# # $$ #
#... # $  #
#..  #@$  #
##. . #$  #
 ##..    ##
  #.###$##
  #     #
  #######
Title: li'l atlas

    ####  #####
    #  ####   ###
    #*.     $ $ #
   ##..$#.#...$ #
   # .. #...#.$ #
   # *.## $ # $ #
   # $  # $ #$$ ###
   # ##$$$$.. #   #
   #$# $.....$##$ #
 ### #  #$#...    #
 #....# $   $ #$$##
 #..*.#  $$  $ $  #
##.*..$   $ $@ $  #
#.*.*. $$$ $$$$$  #
#.... #   $     ###
########   ######
        ####
Title: cactus inn

    ####          ########
    #  ############      #
    #*......*.$ #   $ $$ #
   ##..*#.#...$ # # $ $  #
   #....#...#.$ #   $ #$ #
   #.*..#.*.#.$ # # #  $ #
   #.*..*.*.#*$ # # $$ $ #
   #.##****...#   # $  ###
   #*# *.....*##$ # $$ $ #
 ###.# .#*#...    # #  $ #
 #....# $   $$#$$ # $$ # #
 #..*.#  $$    $  # $  $ #
##.*..$   $ $  $    #$$$ #
#.*.*. $$$ $$$$$  ##     #
#.... #   $     $##    $ #
################  ##$$$$ #
               #      @# #
               #####$$$$ #
                   #     #
                   #$$#$ #
                   #     #
                   #######
Title: cactus inn 2

     ####
  ####  #
###     #
#  *** .#
#  * * ##
###*@* #
#   $* #
#   #  #
#      #
########
Title: betsy

    #####
    #   #
    # # ######
    #      $ ######
    ### ####      #
     #  $    #### #
     # $#....#  $ #
######  #....# $# #
#   #  $#....$ @# #
# $$$   # # ##### ##
#     # # $ $      #
#####   #     ##   #
    ################
Title: turn around

#######
#     #
##$ $ ####
#@* #    #
# *.*..* #
# $ # $$##
#  .#   #
## .. #$#
 ####   #
    #####
Title: crossing 1

#######
#@    ##
##$*** ###
# *  *   #
# *  *.* #
# *  * $##
#  * *  #
#  * *. #
#####   #
    #####
Title: arawak

######
#@   #
# * $####
# * * #.#
# $ * #.#
# $*  #.#
#  *    #
######  #
    #####
Title: nancy

######
#@   #
# * $####
# * * #.#
# $ * #.#
# $** #.#
#  *    #
######  #
    #####
Title: bonaire

 ######
 #@   #
 # * $ #
 # * * #
 # $ * #
 # *** ##
 #  *   #
###* *  #
#. * **$##
#. * *   #
#.       #
##########
Title: fishy

  ########
  #      #
 ##  $   #
##  $ $ ###
#   * *   #
# ******* #
### * * # #
 #. * * # #
 #.   # $ #
 #..#  @# #
 ##########
Title: green beans

#######
#     ########
# $ $  $ $   #
#  $ # ....$ #
# $ ##$*.#* ###
### #....#. $ #
  # #....#....#
### ### .#.$# #
#    $  $.$@# #
# $#$#$ $  $$ #
